"Step","Our Work - island_0_best_score","Our Work - island_0_best_score__MIN","Our Work - island_0_best_score__MAX","Benchmark - island_0_best_score","Benchmark - island_0_best_score__MIN","Benchmark - island_0_best_score__MAX"
"0","-212","-212","-212","-212","-212","-212"
"3","","","","-212","-212","-212"
"4","","","","-212","-212","-212"
"6","","","","-212","-212","-212"
"7","","","","-212","-212","-212"
"9","-212","-212","-212","","",""
"10","-212","-212","-212","","",""
"12","-212","-212","-212","","",""
"13","-212","-212","-212","","",""
"16","","","","-212","-212","-212"
"19","","","","-212","-212","-212"
"21","","","","-212","-212","-212"
"22","","","","-212","-212","-212"
"23","-212","-212","-212","","",""
"24","","","","-212","-212","-212"
"25","","","","-212","-212","-212"
"26","-212","-212","-212","","",""
"29","-212","-212","-212","","",""
"30","-212","-212","-212","","",""
"32","-212","-212","-212","","",""
"33","-212","-212","-212","","",""
"35","","","","-212","-212","-212"
"37","-212","-212","-212","","",""
"38","-212","-212","-212","-212","-212","-212"
"39","","","","-212","-212","-212"
"40","-212","-212","-212","","",""
"41","-212","-212","-212","","",""
"42","","","","-212","-212","-212"
"43","-212","-212","-212","","",""
"45","-212","-212","-212","","",""
"46","-212","-212","-212","-212","-212","-212"
"48","-212","-212","-212","","",""
"49","-212","-212","-212","-212","-212","-212"
"52","-212","-212","-212","","",""
"58","-212","-212","-212","","",""
"61","-212","-212","-212","","",""
"63","","","","-212","-212","-212"
"66","-212","-212","-212","-212","-212","-212"
"69","-212","-212","-212","-212","-212","-212"
"70","","","","-212","-212","-212"
"71","-212","-212","-212","","",""
"72","-212","-212","-212","-212","-212","-212"
"73","","","","-212","-212","-212"
"74","-212","-212","-212","","",""
"75","-212","-212","-212","","",""
"83","","","","-212","-212","-212"
"84","-212","-212","-212","","",""
"86","","","","-212","-212","-212"
"87","-212","-212","-212","-212","-212","-212"
"89","-212","-212","-212","-212","-212","-212"
"90","","","","-212","-212","-212"
"91","-212","-212","-212","","",""
"92","","","","-212","-212","-212"
"95","","","","-212","-212","-212"
"98","","","","-212","-212","-212"
"99","-212","-212","-212","","",""
"100","-212","-212","-212","","",""
"101","-212","-212","-212","-212","-212","-212"
"102","-212","-212","-212","","",""
"103","-212","-212","-212","","",""
"104","-212","-212","-212","-212","-212","-212"
"105","","","","-212","-212","-212"
"107","","","","-212","-212","-212"
"108","","","","-212","-212","-212"
"110","","","","-212","-212","-212"
"111","-212","-212","-212","","",""
"114","-212","-212","-212","","",""
"117","-212","-212","-212","","",""
"118","-212","-212","-212","-212","-212","-212"
"119","-212","-212","-212","-212","-212","-212"
"120","-212","-212","-212","","",""
"121","-212","-212","-212","-212","-212","-212"
"122","","","","-212","-212","-212"
"124","-212","-212","-212","","",""
"127","-212","-212","-212","","",""
"129","-212","-212","-212","","",""
"130","-212","-212","-212","-212","-212","-212"
"131","","","","-212","-212","-212"
"132","-212","-212","-212","","",""
"133","","","","-212","-212","-212"
"134","","","","-212","-212","-212"
"135","","","","-212","-212","-212"
"137","","","","-212","-212","-212"
"138","","","","-212","-212","-212"
"139","-212","-212","-212","","",""
"140","","","","-212","-212","-212"
"141","-212","-212","-212","","",""
"142","","","","-212","-212","-212"
"144","","","","-212","-212","-212"
"145","-212","-212","-212","","",""
"147","","","","-212","-212","-212"
"148","-212","-212","-212","","",""
"149","","","","-212","-212","-212"
"161","","","","-212","-212","-212"
"162","-212","-212","-212","","",""
"164","","","","-212","-212","-212"
"165","-212","-212","-212","-212","-212","-212"
"166","","","","-212","-212","-212"
"167","-212","-212","-212","","",""
"168","","","","-212","-212","-212"
"169","","","","-212","-212","-212"
"170","-212","-212","-212","","",""
"172","","","","-212","-212","-212"
"175","","","","-212","-212","-212"
"179","-212","-212","-212","","",""
"181","-212","-212","-212","","",""
"185","-212","-212","-212","","",""
"186","-212","-212","-212","","",""
"188","-212","-212","-212","","",""
